,logFC,logCPM,PValue,FDR
hsa-miR-100-5p,-0.650122401,8.718935105,0.102286438,1
hsa-miR-3156-5p,2.734509699,3.635219016,0.102829165,1
hsa-miR-148a-3p,-0.60250526,12.48951815,0.10289401,1
hsa-miR-6823-3p,-0.546093552,6.725469945,0.103004351,1
hsa-miR-3140-3p,-1.124207272,5.662681552,0.104475575,1
hsa-miR-26b-5p,-0.598766851,11.65090921,0.104823882,1
hsa-miR-4728-3p,-0.635382684,6.916340887,0.105017239,1
hsa-miR-222-3p,-0.712169604,7.678080298,0.105481421,1
hsa-miR-6726-5p,-0.594005365,6.148401169,0.106044877,1
hsa-miR-4710,0.512049803,6.106212422,0.106186289,1
hsa-miR-1273e,-0.592786365,6.011358858,0.106885679,1
hsa-miR-873-5p,-0.65379363,7.337900149,0.108505979,1
hsa-miR-7515,-1.638731932,4.135041731,0.108747827,1
hsa-miR-485-5p,-0.618314999,7.078554612,0.110600158,1
hsa-miR-5581-5p,2.645571611,3.654619155,0.110773511,1
hsa-miR-4714-5p,0.552507097,5.834383604,0.110865698,1
hsa-let-7g-3p,-1.134576268,5.052436826,0.111414969,1
hsa-miR-218-5p,-0.533966389,7.190244796,0.111665839,1
hsa-miR-6768-5p,-0.923515236,8.581459162,0.113108733,1
hsa-miR-106b-3p,-0.571360161,8.907044675,0.113684273,1
hsa-miR-626,-0.652953204,6.516718488,0.113734387,1
hsa-miR-6866-5p,0.727395278,4.917531269,0.115860425,1
hsa-miR-646,0.595305785,5.127252877,0.116233119,1
hsa-miR-1915-3p,-0.623828526,7.704361359,0.116519258,1
hsa-miR-4738-3p,0.698225296,7.514195074,0.116735984,1
hsa-miR-6835-5p,-0.642639037,5.601348317,0.117356007,1
hsa-miR-516a-3p,-2.541985651,3.603141227,0.117678921,1
hsa-miR-548e-5p,0.688548665,5.667218329,0.118132589,1
hsa-miR-3130-3p,0.491447752,6.496777865,0.118369805,1
hsa-miR-136-3p,-0.677908474,6.721079721,0.11921625,1
hsa-miR-4687-5p,-0.696752322,6.828820919,0.119536284,1
hsa-miR-1254,0.747953118,5.009897735,0.120305615,1
hsa-miR-589-3p,0.973081521,6.581618334,0.120393675,1
hsa-miR-6847-3p,0.723423864,4.757650071,0.120594763,1
hsa-miR-1225-5p,-0.794092629,7.003448638,0.121729678,1
hsa-miR-3064-3p,0.694680687,4.780605509,0.121820236,1
hsa-miR-1306-5p,-0.523688449,6.884498043,0.121863165,1
hsa-miR-204-5p,-0.799066333,5.949604101,0.121952457,1
hsa-miR-4763-5p,-0.563185363,6.635510353,0.122711425,1
hsa-miR-7152-5p,-0.520252226,6.172399756,0.122934303,1
hsa-miR-491-5p,0.589448587,5.404419755,0.123114284,1
hsa-miR-575,-0.735792893,6.07339501,0.123554661,1
hsa-miR-4640-3p,-0.612929254,6.110937596,0.125542102,1
hsa-miR-6795-5p,-0.774925415,8.857189734,0.125624761,1
hsa-miR-135a-5p,-2.436714769,3.969141504,0.125793545,1
hsa-miR-8053,-0.765531669,6.122875604,0.125871933,1
hsa-miR-4654,-0.647931541,6.77342953,0.126538519,1
hsa-miR-200b-5p,-0.741976709,5.797272769,0.12706225,1
hsa-miR-518a-3p,-0.934390882,5.925027751,0.127558631,1
hsa-miR-4644,0.607435551,5.775936299,0.128236633,1
hsa-miR-3918,0.674740909,5.09219019,0.128976693,1
hsa-miR-4477b,-1.569199398,4.025554103,0.129667075,1
hsa-miR-628-5p,-1.542346888,4.351668361,0.130115716,1
hsa-miR-203b-5p,-1.598106401,10.04136337,0.130691315,1
hsa-miR-6130,-0.682046992,4.991797222,0.130735102,1
hsa-miR-6790-3p,-0.737833671,8.778436839,0.13090415,1
hsa-miR-6754-5p,0.888666385,5.764179653,0.131442181,1
hsa-miR-7845-5p,-0.702905707,7.690658886,0.131456325,1
hsa-miR-7112-3p,-0.785822606,5.803831759,0.131764348,1
hsa-miR-3152-3p,0.585358447,6.933731706,0.131952878,1
hsa-miR-541-5p,-0.565979056,6.343817543,0.132059873,1
hsa-miR-576-5p,-0.518688627,6.396844627,0.13247705,1
hsa-miR-4433b-5p,-0.729609121,6.72497923,0.132648735,1
hsa-miR-4475,-1.46287912,4.266063162,0.132903704,1
hsa-miR-4660,0.717799766,6.275468494,0.133621752,1
hsa-miR-509-3p,-0.995214282,10.57581718,0.133773766,1
hsa-miR-7152-3p,0.636284378,5.667024287,0.134285989,1
hsa-miR-7704,-0.77180362,7.585222091,0.134742257,1
hsa-miR-542-3p,-0.625583792,9.894617021,0.135879043,1
hsa-miR-3193,-0.668142662,5.701449744,0.135885091,1
hsa-miR-1288-5p,0.528197892,6.565776626,0.136111597,1
hsa-miR-501-3p,-0.522227416,8.576448458,0.136551769,1
hsa-miR-3682-3p,0.593622204,5.537905833,0.136706383,1
hsa-miR-4755-3p,0.702981027,4.804584203,0.136812512,1
hsa-miR-33b-5p,0.555589429,5.566328953,0.137247726,1
hsa-miR-3144-5p,-2.368009258,3.716866812,0.137301417,1
hsa-miR-143-5p,-0.519888039,7.51762202,0.137554305,1
hsa-miR-7849-3p,-0.738701188,9.728495154,0.13881224,1
hsa-miR-588,0.610120851,5.13548224,0.139256881,1
hsa-miR-2114-5p,0.587542568,6.458332978,0.139615461,1
hsa-miR-6756-5p,0.958454836,11.63282496,0.141961603,1
hsa-miR-16-2-3p,-0.731887207,8.249856172,0.142166619,1
hsa-miR-6808-3p,-0.76698683,6.936267819,0.142448488,1
hsa-miR-211-5p,0.793669891,9.199930823,0.142602973,1
hsa-miR-3175,-0.75212425,13.13993925,0.142696353,1
hsa-miR-3915,0.652417592,5.275481565,0.143531637,1
hsa-miR-1255b-5p,-1.57097182,4.079962671,0.144681434,1
hsa-miR-7161-5p,-0.493098782,6.971903975,0.145343068,1
hsa-miR-493-5p,-0.529535655,8.11105786,0.146388334,1
hsa-miR-8080,-0.528044506,5.694271331,0.146600382,1
hsa-miR-6871-5p,0.44640232,6.793877699,0.146644303,1
hsa-miR-181a-2-3p,-0.564067107,5.746497505,0.14678284,1
hsa-miR-4269,0.892943215,5.890221945,0.146812103,1
hsa-miR-29a-3p,-0.608171366,11.30707906,0.147070472,1
hsa-miR-2681-5p,-0.54035665,5.513683717,0.147070515,1
hsa-miR-3178,-0.465221137,6.925501237,0.147333187,1
hsa-miR-3163,0.539161485,5.900719419,0.147880073,1
hsa-miR-548ar-5p,-0.840696334,5.352767317,0.148037583,1
hsa-miR-202-5p,-0.711880077,12.05788856,0.148203203,1
hsa-miR-3928-5p,0.598364473,8.587126989,0.148943601,1
hsa-miR-330-5p,0.645447515,5.176177752,0.150525261,1
hsa-miR-1185-2-3p,-1.372029904,4.641098085,0.151351989,1
hsa-miR-6504-3p,-0.769362483,5.980878887,0.151776333,1
hsa-miR-3688-3p,-2.239525779,3.739915169,0.152407866,1
hsa-miR-4667-3p,-0.60721256,5.641910354,0.15301133,1
hsa-miR-4300,0.547453782,5.523039781,0.153068131,1
hsa-miR-4468,0.533591991,6.039408271,0.153710353,1
hsa-miR-4321,-0.613182739,6.975352698,0.154186454,1
hsa-miR-1913,-0.585480468,6.676735909,0.154669309,1
hsa-miR-5089-3p,-0.704866746,7.638284716,0.154782756,1
hsa-miR-26a-5p,-0.602517704,12.87905102,0.155480962,1
hsa-miR-8087,-1.565118494,4.34461969,0.156031906,1
hsa-miR-4689,-0.539531917,6.154564281,0.157229576,1
hsa-miR-7855-5p,-0.430948906,6.689279154,0.158315336,1
hsa-let-7b-5p,-0.595546771,16.36793136,0.159230893,1
hsa-miR-4446-3p,0.461112288,6.323755504,0.159724939,1
hsa-miR-574-3p,-0.561516532,8.346885938,0.161773691,1
hsa-miR-22-3p,-0.58450623,9.438101615,0.161881532,1
hsa-miR-6784-5p,0.559342219,5.664471947,0.163123386,1
hsa-miR-151a-3p,-0.577558403,11.5286909,0.163673743,1
hsa-miR-124-5p,-0.707234812,7.144236646,0.165277643,1
hsa-miR-3689f,0.550927934,5.404115828,0.165701166,1
hsa-miR-6736-3p,-0.518015722,5.831259139,0.166233913,1
hsa-miR-125b-5p,-0.65701111,13.16517378,0.166506311,1
hsa-miR-136-5p,-0.627595317,5.353333585,0.166706209,1
hsa-miR-323a-5p,0.494961166,7.409616459,0.167127693,1
hsa-miR-328-3p,-0.533507417,8.677915788,0.167870136,1
hsa-miR-504-5p,-0.672693512,7.193326886,0.167903336,1
hsa-miR-298,-0.527716582,7.688138172,0.168046165,1
hsa-miR-6868-3p,-1.368354427,4.558351227,0.1680495,1
hsa-miR-6829-3p,-0.635898418,6.231892809,0.168231096,1
hsa-miR-6800-5p,-0.75759976,7.936592176,0.168497423,1
hsa-miR-7848-3p,0.46612716,5.883044838,0.168733192,1
